회사명,보험명,약관구분,조항,내용
4. 사용피보험자
5. 운전피보험자. 다만, 자동차 취급업자가 업무상 위탁받은 피보험자동차를
사용하거나 관리하는 경우에는 피보험자로 보지 않습니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제2절(대인배상Ⅱ와 대물배상)>제8조(보상하지 않는 손해),"① 다음 중 어느 하나에 해당하는 손해는 ｢ 대인배 상Ⅱ ｣ 와 ｢ 대물배상 ｣ 에서 보상하지 않습니다. 1. 보험계약자 또는 기명피보험자의 고의로 인한 손해 2. 기명피보험자 이외의 피보험자의 고의로 인한 손해 3. 전쟁, 혁명, 내란, 사변, 폭동, 소요 또는 이와 유사한 사태로 인한 손해
상Ⅱ ｣ 와 ｢ 대물배상 ｣ 에서 보상하지 않습니다.
1. 보험계약자 또는 기명피보험자의 고의로 인한 손해
2. 기명피보험자 이외의 피보험자의 고의로 인한 손해
3. 전쟁, 혁명, 내란, 사변, 폭동, 소요 또는 이와 유사한 사태로 인한 손해
4. 지진, 분화, 태풍, 홍수, 해일 등 천재지변으로 인한 손해
5. 핵연료물질의 직접 또는 간접적인 영향으로 인한 손해
6. 피보험자동차가 승용차 또는 승합차(버스)인 경우에 영리를 목적으로 요
금이나 대가를 받고 피보험자동차를 반복적으로 사용하거나 빌려 준 때
에 생긴 손해.
7. 피보험자가 제3자와 손해배상에 관한 계약을 맺고 있을 때 그 계약으로
인하여 늘어난 손해
8. 피보험자동차를 시험용, 경기용 또는 경기를 위해 연습용으로 사용하던
중 생긴 손해. 다만, 운전면허시험을 위한 도로주행시험용으로 사용하던
중 생긴 손해는 보상합니다.
② 다음 중 어느 하나에 해당하는 사람이 죽거나 다친 경우에는 ｢ 대인배상Ⅱ ｣
에서 보상하지 않습니다.
1. 피보험자 또는 그 부모, 배우자 및 자녀. 만약, 기명피보험자가 법인인 경
우에는 이사와 감사 또는 그 부모, 배우자, 자녀
2. 배상책임이 있는 피보험자의 피용자로서 ｢ 산업재해보상보험법 ｣ 에 의한
재해보상을 받을 수 있는 사람. 다만, 그 사람이 입은 손해가 같은 법에
의한 보상범위를 넘어서는 경우 그 초과손해를 보상합니다.
3. 피보험자동차가 피보험자의 사용자의 업무에 사용되는 경우 그 사용자의
업무에 종사 중인 다른 피용자로서, ｢ 산업재해보상보험법 ｣ 에 의한 재해보
상을 받을 수 있는 사람. 다만, 그 사람이 입은 손해가 같은 법에 의한
보상범위를 넘는 경우 그 초과손해를 보상합니다.
③ 다음 중 어느 하나에 해당하는 손해는 ｢ 대물배상 ｣ 에서 보상하지 않습니다.
1. 피보험자 또는 그 부모, 배우자나 자녀가 소유ㆍ사용ㆍ관리하는 재물에
생긴 손해(피보험자가 법인인 경우에는 이사와 감사 또는 그 부모, 배우
자 자녀가 소유ㆍ사용ㆍ관리하는 재물을 포함)
2. 피보험자가 사용자의 업무에 종사하고 있을 때 피보험자의 사용자가 소
유ㆍ사용ㆍ관리하는 재물에 생긴 손해
3. 피보험자동차에 싣고 있거나 운송중인 물품에 생긴 손해
4. 다른 사람의 서화, 골동품, 조각물, 그 밖에 미술품과 탑승자와 통행인의
의류나 휴대품에 생긴 손해. 그러나 탑승자의 신체를 보호할 인명보호장
구에 한하여 피해자 1인당 200만원의 한도에서 실제 손해를 보상합니다.
5. 탑승자와 통행인의 분실 또는 도난으로 인한 소지품에 생긴 손해. 그러나 훼손
된 소지품에 한하여 피해자 1인당 200만원의 한도에서 실제 손해를 보상합니다.
6. 피보험자가 피보험자동차를 공사수행을 위하여 사용 또는 관리하던 중
지하케이블, 도관, 기타 지하시설물을 파손한 경우 또는 지반의 침하로
생긴 손해 및 건물구조물의 붕괴, 도괴로 생긴 손해
④ 제①항 제2호와 관련해서 보험회사 가 제9조(피보험자 개별적용) 제①항에
따라 피해자에게 손해배상을 하는 경우, 보험회사는 손해배상액을 지급한
날부터 3년 이내에 고의로 사고를 일으킨 피보험자에게 그 금액의 지급을
청구합니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제3절(배상책임에서 공통으로 적용할 사항)>제9조(피보험자 개별적용),"① 이 장의 규정은 각각의 피보험자마다 개별적으로 적 용 [13)] 합니다. 다만 제8조(보상하지 않는 손해) 제①항 제1호, 제6호, 제8호, 제③항 제6 호를 제외합니다. ② 제①항에 따라 제10조(지급보험금의 계산)에 정하는 보험금의 한도가 증액
용 [13)] 합니다. 다만 제8조(보상하지 않는 손해) 제①항 제1호, 제6호, 제8호, 제③항 제6
호를 제외합니다.
② 제①항에 따라 제10조(지급보험금의 계산)에 정하는 보험금의 한도가 증액
되지는 않습니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제3절(배상책임에서 공통으로 적용할 사항)>제10조(지급보험금의 계산),"① ｢ 대인배상 I ｣, ｢ 대인배상Ⅱ ｣, ｢ 대물배상 ｣ 에서 보험회 사는 이 약관의 ‘보험금지급기준에 의해 산출한 금액’과 ‘비용’ [14)] 을 합한 금액에서 ‘공제액’을 공제한 후 보험금으로 지급하되 다음의 금액을 한도로 합니다. 1. ｢ 대인배상Ⅰ ｣ : 자동차손해배상보장법령에서 정한 기준에 따라 산출한 금액 2. ｢ 대인배상Ⅱ ｣, ｢ 대물배상 ｣ : 보험증권에 기재된 보험가입금액
사는 이 약관의 ‘보험금지급기준에 의해 산출한 금액’과 ‘비용’ [14)] 을 합한 금액에서
‘공제액’을 공제한 후 보험금으로 지급하되 다음의 금액을 한도로 합니다.
1. ｢ 대인배상Ⅰ ｣ : 자동차손해배상보장법령에서 정한 기준에 따라 산출한 금액
2. ｢ 대인배상Ⅱ ｣, ｢ 대물배상 ｣ : 보험증권에 기재된 보험가입금액
보험금지급 =
‘보험금지급기준에 의해 산출한 금액’
또는 ‘법원의 확정판결 등 [15)] 에 따라
피보험자가 배상하여야 할 금액’
+ 비용 - 공제
② 소송(민사조정, 중재를 포함)이 제기되었을 경우에는 대한민국 법원의 확정판결
등에 따라 피보험자가 손해배상청구권자에게 배상하여야 할 금액(지연배상금을
포함)을 제①항의 ‘보험금지급기준에 의해 산출한 금액’으로 봅니다.
③ 제①항의 ‘비용’은 다음 중 어느 하나에 해당하는 금액을 말합니다. 이 비용은
보험가입금액과 관계없이 보상하여 드립니다.
13)“피보험자 모두에게 개별적으로 적용”이란 한 사고로 배상책임을 지는 피보험자가 복수
로 존재할 경우 각각의 피보험자마다 면책사유가 적용되는지 확인하여 한 피보험자와의
관계에서 면책사유가 적용된다 하더라도 다른 피보험자의 보험금청구권이 발생하면 보
험회사의 보상책임이 있다는 의미입니다. 예를 들어 기명피보험자 A가 친구인 B에게 차
량을 빌려주었고 B의 종업원 C가 회사일을 위하여 차량을 운전하다가 그 회사 업무에
종사중이던 다른 종업원 D를 사상케 한 경우 배상책임을 지는 피보험자로는 A와 B 그
리고 운전자 C가 됩니다. 그런데 승낙피보험자 B의 배상책임에 대하여는 피용자재해면
책약관, 운전자 C의 배상책임에 대하여는 동료재해면책약관에 의해 면책되지만 기명피
보험자 A는 피해자 D와 사용, 피용관계나 동료관계에 있지 않아 A가 피해자에게 지는
배상책임에 대해 보험사의 보상책임은 발생하게 됩니다.
14) 비용은 손해의 감소를 위해 타당하게 사용된 금액입니다. 지급보험금 산출식에 의해
계산된 보험금이 보험가입금액을 초과하더라도 비용에 해당하는 항목은 보상해 드립니다.
15)법원의 확정판결 또는 법원의 확정판결과 동일한 효력을 갖는 조정결정, 중재판정 등을
말합니다.
1. 손해의 방지와 경감을 위하여 지출한 비용(긴급조치비용을 포함)
2. 다른 사람으로부터 손해배상을 받을 수 있는 권리의 보전과 행사를 위하여
지출한 필요 비용 또는 유익한 비용
3. 그 밖에 보험회사의 동의를 얻어 지출한 비용
④ 제①항의 ‘공제액’은 다음의 금액을 말합니다.
1. ｢ 대인배상Ⅱ ｣ : ｢ 대인배상Ⅰ ｣ 에서 지급되는 금액 또는 피보험자동차가 ｢ 대인
배상Ⅰ ｣ 에 가입되지 않은 경우에는 ｢ 대인배상Ⅰ ｣ 에서 지급될 수 있는 금액
2. ｢ 대물배상 ｣ : 사고차량을 고칠 때에 엔진, 변속기(트랜스미션), 모터, 구동용배
터리 등 부분품을 교체한 경우 교체된 기존 부분품의 감가상각에 해당하는
금액"
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제3절(배상책임에서 공통으로 적용할 사항)>제11조,"(음주운전, 무면허운전, 마약 ․ 약물운전 또는 사고발생시의 조치의무 위반 관
**련 사고부담금)**
① 피보험자 본인이 음주운전이나 무면허운전 또는 마약·약물운전을 하는 동안에
생긴 사고 또는 사고발생 시의 조치의무를 위반한 경우 또는 기명피보험자의
명시적 ․ 묵시적 승인하에서 피보험자동차의 운전자가 음주운전이나 무면허운전
또는 마약·약물운전을 하는 동안에 생긴 사고 또는 사고발생 시의 조치의무를
위반한 경우로 인하여 보험회사가 ｢ 대인배상 I ｣, ｢ 대인배상 Ⅱ ｣ 또는 ｢ 대물배상
｣ 에서 보험금을 지급하는 경우, 피보험자는 다음에서 정하는 사고부담금을 보험
회사에 납입하여야 합니다.
1. 「대인배상 Ⅰ」 : ｢ 대인배상Ⅰ ｣ 한도 내 지급보험금
2. 「대인배상 Ⅱ」 : 1사고당 1억원
3. 「대물배상」
가. ｢ 자동차손해배상보장법 ｣ 제5조 제2항의 규정에 따라 자동차보유자가 의
무적으로 가입하여야 하는 ｢ 대물배상 ｣ 보험가입금액 이하 손해 : 지
급보험금
나. 「자동차손해배상보장법」 제5조 제2항의 규정에 따라 자동차보유자가
의무적으로 가입하여야 하는 「대물배상」 보험가입금액 초과 손해 : 1
사고당 5,000만원
② 피보험자는 지체 없이 음주운전, 무면허운전, 마약ㆍ약물운전 또는 사고발생 시
의 조치의무위반 사고부담금을 보험회사에 납입하여야 합니다. 다만, 피보험
자가 경제적인 사유 등으로 이 사고부담금을 미납하였을 때 보험회사는 피
해자에게 이 사고부담금을 포함하여 손해배상금을 우선 지급하고 피보험자
에게 이 사고부담금의 지급을 청구할 수 있습니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제1절(자기신체사고)>제12조(보상하는 손해),"｢ 자기신체사고 ｣ 에서 보험회사는 피보험자가 피보험자동차를 소유ㆍ사용ㆍ관리하는 동안에 생긴 다음 중 어느 하나의 사고로 인하여 죽거나 다 친 때 [16)] 그로 인한 손해를 보상하여 드립니다. 1. 피보험자동차의 운행으로 인한 사고 2. 피보험자동차의 운행중 발생한 다음의 사고. 다만, 피보험자가 피보험자동차에
소유ㆍ사용ㆍ관리하는 동안에 생긴 다음 중 어느 하나의 사고로 인하여 죽거나 다
친 때 [16)] 그로 인한 손해를 보상하여 드립니다.
1. 피보험자동차의 운행으로 인한 사고
2. 피보험자동차의 운행중 발생한 다음의 사고. 다만, 피보험자가 피보험자동차에
탑승중일 때에 한합니다.
가. 날아오거나 떨어지는 물체와 충돌
나. 화재 또는 폭발
다. 피보험자동차의 낙하"
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제1절(자기신체사고)>제13조(피보험자),"① ｢ 자기신체사고 ｣ 에서 피보험자는 보험회사에 보상을 청구할 수 있는 사람으
로 그 범위는 다음과 같습니다.
16)피보험자의 신체에 이상이 있는 점을 뒷받침할 수 있는 의학적 소견이 있는 경우에 한합니다.
1. ‘제7조(피보험자)’의 ｢ 대인배상Ⅱ ｣ 에 해당하는 피보험자. 단 기명피보험자가
법인인 경우에는 이사와 감사를 포함합니다.
2. 위 ‘1’의 피보험자의 부모, 배우자 및 자녀 [17)]"
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제1절(자기신체사고)>제14조(보상하지 않는 손해),"다음의 어느 하나에 해당하는 손해는 ｢ 자기신체사고 ｣ 에서 보상하지 않습니다. 1. 피보험자의 고의로 그 본인이 상해를 입은 때. 이 경우 그 피보험자에 대한  보험금만 지급하지 않습니다.
에서 보상하지 않습니다.
1. 피보험자의 고의로 그 본인이 상해를 입은 때. 이 경우 그 피보험자에 대한
보험금만 지급하지 않습니다.
2. 상해가 보험금을 받을 자의 고의로 생긴 때에는 그 사람이 받을 수 있는 금액
3. 피보험자동차 또는 피보험자동차 이외의 자동차를 시험용, 경기용 또는 경기
를 위해 연습용으로 사용하던 중 생긴 손해. 다만, 운전면허시험을 위한 도로
주행시험용으로 사용하던 중 생긴 손해는 보상합니다.
4. 전쟁, 혁명, 내란, 사변, 폭동, 소요 및 이와 유사한 사태로 인한 손해
5. 지진, 분화 등 천재지변으로 인한 손해
6. 핵연료물질의 직접 또는 간접적인 영향으로 인한 손해
7. 피보험자동차가 승용차 또는 승합차(버스)인 경우에 영리를 목적으로 요금이나
대가를 받고 피보험자동차를 반복적으로 사용하거나 빌려 준 때에 생긴 손해
8. 피보험자가 정규승차용 구조장치가 아닌 장소에 탑승 중 생긴 손해"
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제1절(자기신체사고)>제15조(보험금의 종류와 한도),"보험회사가 ｢ 자기신체사고 ｣ 에서 지급하는 보험금의 종류와 한도는 다음과 같습니다. ① 사망 피보험자가 상해를 입은 직접적인 결과로 사망하였을 때에는, 보험증권에 기재
종류와 한도는 다음과 같습니다.
① 사망
피보험자가 상해를 입은 직접적인 결과로 사망하였을 때에는, 보험증권에 기재
된 사망보험가입금액을 한도로 합니다
② 부상
피보험자가 상해를 입은 직접적인 결과로 의사의 치료를 요하는 때에는, ' 자기신체사고 지급기준’상의 ‘1) 상해구분 및 급별 보험가입금액표’에 따라
보험가입금액을 한도로 합니다.
③ 후유장해
피보험자가 상해를 입은 직접적인 결과로 치료를 받은 후에도 신체에 장해가
남은 때에는 ‘ 자기신체사고 지급기준’상의 ‘2) 후유장애구분 및 급별
보험가입금액표’에 따라, 보험증권에 기재된 후유장해 보험가입금액에 해당하는
각 장해등급별 보험금액을 한도로 합니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제1절(자기신체사고)>제16조(지급보험금의 계산),"｢ 자기신체사고 ｣ 의 지급보험금은 다음과 같이 계산합니다. ① ｢ 자기신체사고 ｣ 의 사망, 부상, 후유장해의 지급보험금은 다음과 같은 방법으로 각각 계산합니다. 다만 비용은 공제액이 발생하지 않는 경우에는 지급하지 않습  니다. [18)]
① ｢ 자기신체사고 ｣ 의 사망, 부상, 후유장해의 지급보험금은 다음과 같은 방법으로
각각 계산합니다. 다만 비용은 공제액이 발생하지 않는 경우에는 지급하지 않습
니다. [18)]
지급보험금 = 실제손해액 + 비용   - 공제액
1. 실제손해액은 대인배상, 무보험자동차에 의한 상해 지급기준에 따
라 산출한 금액 또는 소송이 제기된 경우 확정판결금액으로써 과실상계 [19)]
및 보상한도를 적용하기 전의 금액을 말합니다.
2. 위 ‘비용’은 다음의 금액을 말합니다. 이 비용은 보험가입금액과 관계없이
17)피보험자의 부모라 함은 피보험자의 부모와 양부모를 말하며, 피보험자의 배우자는
법률상의 배우자 또는 사실혼관계에 있는 배우자를 말하며, 피보험자의 자녀라 함은
법률상의 혼인관계에서 출생한 자녀, 사실혼관계에서 출생한 자녀, 양자 또는 양녀를
말합니다.
18) 공제액이 발생하지 않는 경우 손해배상을 받을 수 있는 권리의 보전과 행사를 위해 지
출하는 비용 및 손해 방지와 경감을 위해 지출한 비용이 발생하지 않습니다. 따라서
비용은 지급하지 않습니다 (예 : 피보험자동차의 단독사고 등)
19) 과실상계란 손해가 발생하였을 때 피해자의 과실이 손해의 발생 또는 손해의 확대에
기여한 경우 손해의 공평분담을 위해 손해배상액을 산정할 때 피해자의 과실을 참작하
는 것을 말합니다.
보상하여 드립니다.
ⅰ) 손해의 방지와 경감을 위하여 지출한 비용
ⅱ) 남으로부터 손해배상을 받을 수 있는 권리의 보전과 행사를 위하여 지출한 비용
3. ‘공제액’은 다음의 금액을 말합니다.
ⅰ) 자동차보험(공제계약 포함) 대인배상Ⅰ(정부보장사업 [20)] 포함) 및 대인
배상Ⅱ에 의해 보상받을 수 있는 금액
ⅱ) 무보험자동차에 의한 상해에 의하여 지급될 수 있는 금액. 다만, 무
보험자동차에 의한 상해의 보험금 청구를 포기한 경우에는 공제하지
않습니다.
ⅲ) 배상의무자 이외의 제3자로부터 보상받은 금액. 단, 산업재해보상보험
법에 의해 보상받은 금액은 제3자로부터 보상받은 금액에 포함하지
않으며 이 경우 관련 내용(업무상 재해 등)확인을 위해 보험회사가
요청한 자료를 제출해야 합니다.
4. 위 3호의 공제액’이 발생하지 않는 경우에는 사망의 경우 보험증권에 기재된 사망보
험가입금액, 부상의 경우 ‘ 자기신체사고 지급기준’상의 보험가입금액 한도내
피보험자가 실제 지출한 치료비(성형수술비 포함), 후유장해의 경우 보험증권에 기재
된 후유장해 보험가입금액에 해당하는 각 장해등급별 보험금액을 각각 지급합니다.
② 보험회사가 사망보험금을 지급할 경우에 이미 후유장해로 지급한 보험금이 있
을 때에는 사망보험금에서 이를 공제한 금액을 지급합니다. 다만 보험계약자인
기명피보험자가 본인의 사망보험금 수익자를 지정하거나 변경하고 그 사실을
보험회사에 서면으로 통지한 경우에는 그 수익자에게 보험금을 지급합니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제2절(무보험자동차에 의한 상해)>제17조(보상하는 손해),"｢ 무보험자동차에 의한 상해 ｣ 에서 보험회사는 피보험자가 무 보험자동차로 인하여 생긴 사고로 죽거나 다친 때 [21)] 그로 인한 손해에 대하여 배 상의무자 [22)] 가 있는 경우에 이 약관에서 정하는 바에 따라 보상하여 드립니다.  제18조(피보험자) ① ｢ 무보험자동차에 의한 상해 ｣ 에서 피보험자는 보험회사에
보험자동차로 인하여 생긴 사고로 죽거나 다친 때 [21)] 그로 인한 손해에 대하여 배
상의무자 [22)] 가 있는 경우에 이 약관에서 정하는 바에 따라 보상하여 드립니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제2절(무보험자동차에 의한 상해)>제18조(피보험자),"① ｢ 무보험자동차에 의한 상해 ｣ 에서 피보험자는 보험회사에 보상을 청구할 수 있는 사람으로 그 범위는 다음과 같습니다. 1. 기명피보험자 및 기명피보험자의 배우자(피보험자동차에 탑승중이었는지 여  부를 불문합니다) 다만, 기명피보험자가 법인인 경우에는 이사와 감사를 기
보상을 청구할 수 있는 사람으로 그 범위는 다음과 같습니다.
1. 기명피보험자 및 기명피보험자의 배우자(피보험자동차에 탑승중이었는지 여
부를 불문합니다) 다만, 기명피보험자가 법인인 경우에는 이사와 감사를 기
명피보험자로 봅니다.
2. 기명피보험자 또는 그 배우자의 부모 및 자녀(피보험자동차에 탑승중이었는
지 여부를 불문합니다)
3. 피보험자동차에 탑승중인 경우로 기명피보험자의 승낙을 얻어 피보험자동차를
사용 또는 관리중인 자. 다만, 자동차 취급업자가 업무로서 위탁받은 피보험자
동차를 사용 또는 관리하는 경우에는 피보험자로 보지 않습니다.
4. 위 '1' 내지 '3'에서 규정하는 피보험자를 위하여 피보험자동차를 운전중인
자. 다만, 자동차 취급업자가 업무로서 위탁받은 피보험자동차를 사용 또는
관리하는 경우에는 피보험자로 보지 않습니다.
5. 기명피보험자가 법인인 경우 '1' 및 '2'에서 규정하고 있는 자는 피보험자
동차에 탑승 중에만 피보험자로 봅니다.
20) 자동차손해배상보장법상의 보장사업으로, 정부에서 보유불명(뺑소니) 자동차 또는 무보
험자동차에 의해 사고를 당한 피해자를 보호하기 위해 운영하는 사회보장제도
21) 피보험자의 신체에 이상이 있는 점을 뒷받침할 수 있는 의학적 소견이 있는 경우에 한
합니다.
22) ‘배상의무자’라 함은 무보험자동차로 인하여 생긴 사고로 피보험자를 죽게 하거나 다치
게 함으로써 피보험자에게 입힌 손해에 대하여 법률상 손해배상책임을 지는 사람을 말
합니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제2절(무보험자동차에 의한 상해)>제19조(보상하지 않는 손해),"다음 중 어느 하나에 해당하는 손해는 ｢ 무보험자동차 에 의한 상해 ｣ 에서 보상하지 않습니다. 1. 보험계약자의 고의로 인한 손해 2. 피보험자의 고의로 그 본인이 상해를 입은 때. 이 경우 해당 피보험자에 대
에 의한 상해 ｣ 에서 보상하지 않습니다.
1. 보험계약자의 고의로 인한 손해
2. 피보험자의 고의로 그 본인이 상해를 입은 때. 이 경우 해당 피보험자에 대
한 보험금만 지급하지 않습니다.
3. 상해가 보험금을 받을 자의 고의로 생긴 때는 그 사람이 받을 수 있는 금액
4. 전쟁, 혁명, 내란, 사변, 폭동, 소요 및 이와 유사한 사태로 인한 손해
5. 지진, 분화, 태풍, 홍수, 해일 등 천재지변으로 인한 손해
6. 핵연료물질의 직접 또는 간접적인 영향으로 인한 손해
7. 피보험자동차가 승용차 또는 승합차(버스)인 경우에 영리를 목적으로 요금이나
대가를 받고 피보험자동차를 반복적으로 사용하거나 빌려 준 때에 생긴 손해
8. 피보험자동차 또는 피보험자동차 이외의 자동차를 시험용, 경기용 또는 경기
를 위해 연습용으로 사용하던 중 생긴 손해. 다만, 운전면허시험을 위한 도로
주행시험용으로 사용하던 중 생긴 손해는 보상합니다.
9. 피보험자가 피보험자동차가 아닌 자동차를 영리를 목적으로 요금이나 대가
를 받고 운전하던 중 생긴 사고로 인한 손해
10. 다음 중 어느 하나에 해당하는 사람이 배상의무자일 경우에는 보상하지 않
습니다. 다만, 이들이 무보험자동차를 운전하지 않은 경우로, 이들 이외에
다른 배상의무자 [23)] 가 있는 경우에는 보상합니다.
가. 상해를 입은 피보험자의 부모, 배우자, 자녀
나. 피보험자가 사용자의 업무에 종사하고 있을 때 피보험자의 사용자 또는
피보험자의 사용자의 업무에 종사 중인 다른 피용자"
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제2절(무보험자동차에 의한 상해)>제20조(지급보험금의 계산),"｢ 무보험자동차에 의한 상해 ｣ 의 지급보험금은 다음과 같 이 계산합니다. 다만, ｢ 도로교통법 ｣ 에 의한 개인형이동장치로 인한 손해는 자동차 손해배상보장법시행령 제3조에서 정하는 금액을 한도로 합니다.  보험금지급 = 보험금지급기준에 의해산출한 금액
이 계산합니다. 다만, ｢ 도로교통법 ｣ 에 의한 개인형이동장치로 인한 손해는 자동차
손해배상보장법시행령 제3조에서 정하는 금액을 한도로 합니다.
보험금지급 = 보험금지급기준에 의해산출한 금액
+ 비용         - 공제
산출한 금액 액
1. 위 ‘지급보험금’은 피보험자 1인당 ‘보험증권에 기재된 보험가입금액’을 한도
로 합니다.
2. 위 ‘비용’은 다음의 금액을 말합니다. 이 비용은 보험가입금액과 관계없이 보
상하여 드립니다.
가. 손해의 방지와 경감을 위하여 지출한 비용
나. 남으로부터 손해배상을 받을 수 있는 권리의 보전과 행사를 위하여 지출
한 비용
3. 위 ‘공제액’은 다음의 금액을 말합니다.
가. 대인배상Ⅰ(책임공제 및 정부보장사업을 포함합니다)에 의하여 지급될 수 있는 금액
나. 배상의무자가 가입한 대인배상Ⅱ 또는 공제계약에 의하여 지급될 수 있는 금액
다. 피보험자가 탑승중이었던 자동차가 가입한 대인배상Ⅱ 또는 공제계약에
의하여 지급될 수 있는 금액
라. 피보험자가 배상의무자로부터 이미 지급받은 손해배상액
마. 배상의무자가 아닌 제3자가 부담할 금액으로 피보험자가 이미 지급받은 금액"
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제3절(자기차량손해)>제21조(보상하는 손해),"① ｢ 자기차량손해 ｣ 에서 보험회사는 피보험자가 피보험자동 차를 소유ㆍ사용ㆍ관리하는 동안에 다음과 같은 사고로 인하여 피보험자동차에 직접적으로 생긴 손해를 보험증권에 기재된 보험가입금액을 한도로 보상하되 다음 제②항 내지 제⑤항의 기준에 따릅니다. 1. 타인 자동차와의 충돌로 인한 손해 [24)] . 단, 타인 자동차의 차량 등록번호와
차를 소유ㆍ사용ㆍ관리하는 동안에 다음과 같은 사고로 인하여 피보험자동차에
직접적으로 생긴 손해를 보험증권에 기재된 보험가입금액을 한도로 보상하되
다음 제②항 내지 제⑤항의 기준에 따릅니다.
1. 타인 자동차와의 충돌로 인한 손해 [24)] . 단, 타인 자동차의 차량 등록번호와
23) ‘배상의무자’라 함은 무보험자동차로 인하여 생긴 사고로 피보험자를 죽게 하거나 다치
게 함으로써 피보험자에게 입힌 손해에 대하여 법률상 손해배상책임을 지는 사람을 말
합니다.
운전자(또는 소유자)가 확인된 경우에만 한합니다.
2. 피보험자동차 전부의 도난으로 인한 손해
② 보험가입금액이 보험가액보다 많은 경우에는 보험가액을 한도로 보상합니
다.
③ 피보험자동차에 통상 붙어있거나 장치되어 있는 부속품과 부속기계장치는
피보험자동차의 일부로 봅니다. 그러나 통상 붙어 있거나 장치되어 있는 것
이 아닌 것은 보험증권에 기재한 것에 한합니다.
④ 피보험자동차의 일방과실사고 [25)] 의 경우에는 실제 수리를 원칙으로 합니다.
⑤ 경미한 손상 [26)] 의 경우 보험개발원이 정한 경미손상 수리기준에 따라 복원
수리하거나 품질인증부품 [27)] 으로 교환수리하는데 소요되는 비용을 한도로
보상합니다.
타인 자동차란 자동차관리법에 의한 자동차, 군수품관리법에 의한 차량, 도로교
통법에 의한 원동기장치 자전거, 건설기계관리법에 의한 건설기계 및 농업기계
화 촉진법에 의한 농업기계를 말하며, 기명피보험자가 소유, 사용, 관리중인 자
동차는 제외합니다."
KB,업무용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제2장(배상책임 이외의 보장종목)>제3절(자기차량손해)>제22조(피보험자),"｢ 자기차량손해 ｣ 에서 피보험자는 보험회사에 보상을 청구할 수 있는 사람으로 보험증권에 기재된 기명피보험자입니다.  제23조(보상하지 않는 손해) 다음 중 어느 하나에 해당하는 손해는 ｢ 자기차량손해 ｣ 에서 보상하지 않습니다.
있는 사람으로 보험증권에 기재된 기명피보험자입니다."
